sku,mpid,veeqo_qty,last_sent_qty,update_needed,status,message,last_run_time
VMGP04BK4060,189021,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGP04G3560,189026,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGP04MX154060,189467,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGP04R2560,189025,22,22,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMGP04W1560,189023,29,29,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMGP04Y2060,189024,17,17,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMHAZWF02,189468,308,308,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMHRC10X13X500B,183678,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMHRC10X13X500P,183679,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMIBTMLF35,183682,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMIBTMLH35,177304,0,0,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMIBTMLH35X3,180329,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMIBTMPS35,183684,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMIBTMPSL35,183683,20,20,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMIBTMSF35,177311,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMIBTMSF35X3,180328,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMIGBXL25G10,183670,257,257,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMIGBXLPEPP43L210,183671,911,911,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMIGYXL25G10,183672,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VMIGYXLPEPP43L210,183673,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VMIMG1P1-2:1,177310,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMIMG1P4-10:1,177254,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMIMTLL12,189031,250,250,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMIMTLU12,189030,53,53,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMIMTML12,189029,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMIMTMU12,189032,187,187,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMIMTSL12,189034,225,225,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMIMTSU12,189033,277,277,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMIMTUL-LR12,189022,156,156,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMIMTUR-LL12,189027,270,270,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMIVKT50PC,183685,375,375,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMIVKT50PCX2,193505,91,91,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMIVKT50PCX4,193506,67,67,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMKFSS1021-6,176804,109,109,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS1025-6,176810,178,178,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS1521-6,176805,211,211,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS1525-6,176811,47,47,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS15-40-25,176803,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS2021-6,176812,163,163,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS2025-6,176813,103,103,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS2521-6,176814,255,255,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS2525-6,176822,176,176,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS3021-6,176815,270,270,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS3025-6,176823,172,172,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS3521-6,176816,176,176,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS3525-6,176824,118,118,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS3531-6,176830,290,290,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS4021-6,176806,200,200,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS4025-6,176802,170,170,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMKFSS4521-6,176817,187,187,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
